	chr	start	end	value	area	cluster	indexStart	indexEnd	L	clusterL	name	annotation	description	region	distance	subregion	insideDistance	exonnumber	nexons	UTR	strand	geneL	codingL	Geneid	subjectHits
10040	chr7	4049599	4051431	-0.064931129	0.64931129	173669	192136	192146	11	13	SDK1	NM_001079653 NM_152744 NP_001073121 NP_689957 XM_011515188 XM_011515189 XM_011515190 XM_017011837 XM_017011838 XM_017011839 XM_017011840 XP_011513490 XP_011513491 XP_011513492 XP_016867326 XP_016867327 XP_016867328 XP_016867329	covers exon(s)	inside	708519	covers exon(s)	0	16	45	inside transcription region	+	967551	NA	221935	18226
6614	chr2	582544	583901	-0.069728999	0.627560993	102900	47134	47143	10	11	TMEM18	NM_001352680 NM_001352681 NM_152834 NP_001339609 NP_001339610 NP_690047	downstream	downstream	93538	NA	NA	NA	5	NA	-	9466	NA	129787	10342
8614	chr5	1950212	1950842	-0.10378316	0.622698958	150123	129541	129546	6	7	IRX4	NM_001278632 NM_001278633 NM_001278634 NM_001278635 NM_016358 NP_001265561 NP_001265562 NP_001265563 NP_001265564 NP_057442	upstream	upstream	62919	NA	NA	NA	6	NA	-	9752	NA	50805	38694
6466	chr19	51219975	51220537	-0.066905362	0.602148259	101325	446433	446442	10	10	SHANK1	NM_016148 NP_057232 XM_006723233 XM_011527013 XM_011527014 XP_006723296 XP_011525315 XP_011525316	overlaps 5'	overlaps 5'	0	overlaps exon upstream	0	1	23	overlaps 5' UTR	-	55111	NA	50944	38860
2513	chr1	248004886	248005719	-0.099353503	0.59612102	20186	46599	46605	7	7	OR11L1	NM_001001959 NP_001001959	overlaps 5'	overlaps 5'	0	overlaps exon upstream	0	1	1	overlaps 5' UTR	-	968	NA	391189	33407
883	chr19	58238600	58239222	0.081754578	0.572282045	102596	450024	450030	7	9	ZNF776	NM_001348007 NM_173632 NP_001334936 NP_775903 NR_145326 NR_145327 NR_145328	inside intron	inside	45263	inside intron	22930	2	3	inside transcription region	+	76190	NA	284309	26500
5061	chr15	26109249	26109614	-0.071179098	0.569432786	65101	355194	355202	9	33	ATP10A	NM_024490 NP_077816 XM_005268261 XM_011521826 XM_011521828 XM_011521829 XM_011521830 XM_017022436 XM_017022437 XP_005268318 XP_011520128 XP_011520130 XP_011520131 XP_011520132 XP_016877925 XP_016877926 XR_001751366 XR_001751367 XR_001751368	covers exon(s)	inside	703	covers exon(s)	0	1	6	inside transcription region	-	23688	NA	57194	48147
10434	chr7	150147553	150148073	-0.070170094	0.561360752	183516	214034	214042	9	10	GIMAP8	NM_175571 NP_783161 XM_005249950 XM_005249951 XP_005250007 XP_005250008	overlaps 5'	overlaps 5'	0	overlaps exon upstream	0	1	5	5' UTR	+	28521	NA	155038	13650
3264	chr10	134729942	134730870	-0.093150915	0.558905489	30415	272273	272281	9	9	CFAP46	NM_001200049 NM_017609 NM_173572 NP_001186978	covers exon(s)	inside	25219	covers exon(s)	0	17	58	inside transcription region	-	134193	NA	54777	42767
8628	chr5	2111458	2112561	-0.078311026	0.548177181	150148	129611	129619	9	9	IRX4	NM_001278632 NM_001278633 NM_001278634 NM_001278635 NM_016358 NP_001265561 NP_001265562 NP_001265563 NP_001265564 NP_057442	upstream	upstream	224165	NA	NA	NA	6	NA	-	9752	NA	50805	38694
1447	chr6	116937438	116938100	0.068330332	0.546642653	168590	179610	179619	10	13	RSPH4A	NM_001010892 NM_001161664 NP_001010892 NP_001155136 XM_017010826 XP_016866315	overlaps 5'	overlaps 5'	0	overlaps exon upstream	0	1	5	overlaps 5' UTR	+	16506	NA	345895	30879
1340	chr5	137474700	137475532	0.067590166	0.540721332	156352	142383	142391	9	9	NME5	NM_003551 NP_003542 XM_005272099 XM_006714716 XM_017009945 XP_005272156 XP_006714779 XP_016865434	overlaps 5'	overlaps 5'	0	covers exon(s)	0	2	6	5' UTR	-	24271	NA	8382	64400
158	chr1	164290179	164290833	0.066647793	0.533182345	14221	34137	34144	8	8	PBX1	NM_001204961 NM_001204963 NM_001353130 NM_001353131 NM_002585 NP_001191890 NP_001191892 NP_001340059 NP_001340060 NP_002576 XM_005245228 XM_005245229 XM_011509590 XM_011509591 XM_011509592 XM_017001395 XM_017001396 XP_005245285 XP_005245286 XP_011507892 XP_011507893 XP_011507894 XP_016856884 XP_016856885	upstream	upstream	237764	NA	NA	NA	8	NA	+	292463	NA	5087	38795
2227	chr1	160616604	160617356	-0.086996089	0.521976535	13873	33349	33355	7	7	SLAMF1	NM_001330754 NM_003037 NP_001317683 NP_003028 NR_104399 NR_104400 NR_104401 XM_005245456 XM_011509905 XM_017002129 XM_017002130 XM_017002131 XP_005245513 XP_011508207 XP_016857618 XP_016857619 XP_016857620	overlaps 5'	overlaps 5'	0	covers exon(s)	0	1	2	overlaps 5' UTR	-	11540	NA	6504	53944
1176	chr3	164914437	164915009	0.064558636	0.516469087	137849	101962	101969	8	16	SLITRK3	NM_001318810 NM_001318811 NM_014926 NP_001305739 NP_001305740 NP_055741	overlaps 5'	overlaps 5'	0	overlaps exon upstream	0	1	2	5' UTR	-	9961	NA	22865	18812
2433	chr1	240070975	240072501	-0.0635711	0.508568796	19546	45288	45295	8	8	CHRM3	NM_000740 NM_001347716 NP_000731 NP_001334645 XM_005273032 XM_011544041 XM_011544043 XM_011544044 XM_011544045 XM_011544046 XM_011544047 XM_017000152 XM_017000153 XM_017000154 XM_017000155 XM_017000156 XM_017000157 XM_017000158 XM_017000159 XM_017000160 XM_017000161 XM_017000162 XM_017000163 XP_005273089 XP_011542343 XP_011542345 XP_011542346 XP_011542347 XP_011542348 XP_011542349 XP_016855641 XP_016855642 XP_016855643 XP_016855644 XP_016855645 XP_016855646 XP_016855647 XP_016855648 XP_016855649 XP_016855650 XP_016855651 XP_016855652	inside exon	inside	278602	inside exon	0	5	5	inside transcription region	+	280344	NA	1131	7742
850	chr19	21646329	21646781	0.10126187	0.50630935	97969	437310	437314	5	6	LINC00664	NR_037194	upstream	upstream	19395	NA	NA	NA	14	NA	+	16520	NA	400680	33891
520	chr13	43566262	43566547	0.063047688	0.504381501	54486	330638	330645	8	14	EPSTI1	NM_001002264 NM_001330543 NM_001331228 NM_033255 NP_001002264 NP_001317472 NP_001318157 NP_150280 XM_005266596 XM_005266597 XM_006719896 XM_011535312 XM_011535313 XM_011535314 XM_017020853 XM_017020854 XM_017020855 XP_005266653 XP_005266654 XP_006719959 XP_011533614 XP_011533615 XP_011533616 XP_016876342 XP_016876343 XP_016876344	overlaps 5'	overlaps 5'	0	overlaps exon upstream	0	1	11	overlaps 5' UTR	-	105883	NA	94240	71220
3359	chr11	414951	415457	-0.070966806	0.49676764	30824	273776	273782	7	7	SIGIRR	NM_001135053 NM_001135054 NM_021805 NP_001128525 NP_001128526 NP_068577 XM_005253044 XM_005253045 XM_005253046 XM_005253048 XM_017018099 XM_017018100 XP_005253101 XP_005253102 XP_005253103 XP_005253105 XP_016873588 XP_016873589 XR_001747933 XR_001747934	inside intron	inside	1940	inside intron	1836	1	10	5' UTR	-	11681	NA	59307	50321
7396	chr20	62037503	62038660	-0.070011047	0.49007733	122554	460314	460320	7	7	KCNQ2	NM_004518 NM_172106 NM_172107 NM_172108 NM_172109 NP_004509 NP_742104 NP_742105 NP_742106 NP_742107 XM_011528810 XM_011528811 XM_017027841 XM_017027842 XM_017027843 XM_017027844 XM_017027845 XP_011527112 XP_011527113 XP_016883330 XP_016883331 XP_016883332 XP_016883333 XP_016883334	overlaps 3'	overlaps 3'	65333	overlaps exon downstream	0	15	15	overlaps 3'UTR	-	66451	NA	3785	32363
6368	chr19	34263159	34264111	-0.069957917	0.489705416	98379	438352	438358	7	7	CHST8	NM_001127895 NM_001127896 NM_022467 NP_001121367 NP_001121368 NP_071912 XM_011527222 XM_011527224 XM_017027143 XP_011525524 XP_011525526 XP_016882632	inside exon	inside	87725	inside exon	0	4	4	overlaps 3'UTR	+	88980	NA	64377	52751
4468	chr13	95358924	95359974	-0.081431192	0.48858715	56168	334001	334006	6	20	SOX21	NM_007084 NP_009015	downstream	downstream	4415	NA	NA	NA	1	NA	-	2510	NA	11166	7174
324	chr11	8832817	8833095	0.081284402	0.487706413	32370	278653	278658	6	6	ST5	NM_005418 NM_139157 NM_213618 NP_005409 NP_631896 NP_998783 XM_005253077 XM_005253083 XM_011520309 XM_011520310 XM_011520311 XM_011520312 XM_011520313 XM_011520314 XM_011520315 XM_011520316 XM_011520317 XM_011520318 XM_011520319 XM_011520320 XM_011520321 XM_011520322 XM_011520323 XM_011520324 XM_011520325 XM_011520326 XM_011520327 XM_011520328 XM_011520329 XM_017018182 XM_017018183 XM_017018184 XM_017018185 XM_017018186 XM_017018187 XP_005253134 XP_005253140 XP_011518611 XP_011518612 XP_011518613 XP_011518614 XP_011518615 XP_011518616 XP_011518617 XP_011518618 XP_011518619 XP_011518620 XP_011518621 XP_011518622 XP_011518623 XP_011518624 XP_011518625 XP_011518626 XP_011518627 XP_011518628 XP_011518629 XP_011518630 XP_011518631 XP_016873671 XP_016873672 XP_016873673 XP_016873674 XP_016873675 XP_016873676 XR_001747941 XR_001747942 XR_001747943 XR_930887	overlaps exon upstream	inside	59822	overlaps exon upstream	0	5	7	5' UTR	-	141420	NA	6764	55367
2667	chr10	11206221	11206870	-0.060928979	0.487431834	21466	251987	251994	8	15	CELF2	NM_001025076 NM_001025077 NM_001083591 NM_001326317 NM_001326318 NM_001326319 NM_001326320 NM_001326321 NM_001326323 NM_001326324 NM_001326325 NM_001326326 NM_001326327 NM_001326328 NM_001326329 NM_001326330 NM_001326331 NM_001326332 NM_001326333 NM_001326334 NM_001326335 NM_001326336 NM_001326337 NM_001326338 NM_001326339 NM_001326340 NM_001326341 NM_001326342 NM_001326343 NM_001326344 NM_001326345 NM_001326346 NM_001326347 NM_001326348 NM_001326349 NM_006561 NP_001020247 NP_001020248 NP_001077060 NP_001313246 NP_001313247 NP_001313248 NP_001313249 NP_001313250 NP_001313252 NP_001313253 NP_001313254 NP_001313255 NP_001313256 NP_001313257 NP_001313258 NP_001313259 NP_001313260 NP_001313261 NP_001313262 NP_001313263 NP_001313264 NP_001313265 NP_001313266 NP_001313267 NP_001313268 NP_001313269 NP_001313270 NP_001313271 NP_001313272 NP_001313273 NP_001313274 NP_001313275 NP_001313276 NP_001313277 NP_001313278 NP_006552 XM_005252354 XM_005252357 XM_005252358 XM_006717373 XM_011519294 XM_011519297 XM_017015542 XM_017015543 XM_017015544 XM_017015545 XM_017015546 XM_017015547 XM_017015548 XM_017015549 XM_017015550 XM_017015551 XM_017015552 XM_017015553 XM_017015554 XM_017015555 XM_017015556 XM_017015557 XM_017015558 XM_017015559 XM_017015560 XM_017015561 XM_017015562 XM_017015563 XM_017015564 XM_017015565 XM_017015566 XM_017015567 XM_017015568 XM_017015569 XM_017015570 XM_017015571 XM_017015572 XP_005252411 XP_005252414 XP_005252415 XP_006717436 XP_011517596 XP_011517599 XP_016871031 XP_016871032 XP_016871033 XP_016871034 XP_016871035 XP_016871036 XP_016871037 XP_016871038 XP_016871039 XP_016871040 XP_016871041 XP_016871042 XP_016871043 XP_016871044 XP_016871045 XP_016871046 XP_016871047 XP_016871048 XP_016871049 XP_016871050 XP_016871051 XP_016871052 XP_016871053 XP_016871054 XP_016871055 XP_016871056 XP_016871057 XP_016871058 XP_016871059 XP_016871060 XP_016871061	inside intron	inside	146328	inside intron	578	2	15	inside transcription region	+	318779	NA	10659	5592
9375	chr6	29521138	29521228	-0.080968944	0.485813665	163141	158801	158807	7	40	GABBR1	NM_001319053 NM_001470 NM_021903 NM_021904 NM_021905 NP_001305982 NP_001461 NP_068703 NP_068704 XM_005248982 XM_006715047 XM_011514453 XM_011514455 XM_017010676 XP_005249039 XP_006715110 XP_011512755 XP_011512757 XP_016866165 XR_001743302 XR_001743303	downstream	downstream	74777	NA	NA	NA	19	NA	-	72616	NA	2550	22283
10187	chr7	38468944	38469273	-0.096730232	0.483651159	176156	198074	198078	5	5	AMPH	NM_001635 NM_139316 NP_001626 NP_647477 XM_006715689 XM_006715690 XM_006715691 XM_011515271 XM_017011995 XM_017011996 XP_006715752 XP_006715753 XP_006715754 XP_011513573 XP_016867484 XP_016867485	inside intron	inside	201894	inside intron	168	14	20	inside transcription region	-	247870	NA	273	25437
366	chr11	77734206	77734490	0.119525878	0.47810351	38471	293832	293835	4	6	NDUFC2-KCTD14	NM_001203260 NM_001203261 NM_001203262 NP_001190189 NP_001190190 NP_001190191	inside intron	inside	56775	inside intron	-5889	3	3	3'UTR	-	64504	NA	100532726	2592
2659	chr10	11046888	11047586	-0.067427275	0.471990922	21449	251949	251955	7	7	CELF2	NM_001025076 NM_001025077 NM_001083591 NM_001326317 NM_001326318 NM_001326319 NM_001326320 NM_001326321 NM_001326323 NM_001326324 NM_001326325 NM_001326326 NM_001326327 NM_001326328 NM_001326329 NM_001326330 NM_001326331 NM_001326332 NM_001326333 NM_001326334 NM_001326335 NM_001326336 NM_001326337 NM_001326338 NM_001326339 NM_001326340 NM_001326341 NM_001326342 NM_001326343 NM_001326344 NM_001326345 NM_001326346 NM_001326347 NM_001326348 NM_001326349 NM_006561 NP_001020247 NP_001020248 NP_001077060 NP_001313246 NP_001313247 NP_001313248 NP_001313249 NP_001313250 NP_001313252 NP_001313253 NP_001313254 NP_001313255 NP_001313256 NP_001313257 NP_001313258 NP_001313259 NP_001313260 NP_001313261 NP_001313262 NP_001313263 NP_001313264 NP_001313265 NP_001313266 NP_001313267 NP_001313268 NP_001313269 NP_001313270 NP_001313271 NP_001313272 NP_001313273 NP_001313274 NP_001313275 NP_001313276 NP_001313277 NP_001313278 NP_006552 XM_005252354 XM_005252357 XM_005252358 XM_006717373 XM_011519294 XM_011519297 XM_017015542 XM_017015543 XM_017015544 XM_017015545 XM_017015546 XM_017015547 XM_017015548 XM_017015549 XM_017015550 XM_017015551 XM_017015552 XM_017015553 XM_017015554 XM_017015555 XM_017015556 XM_017015557 XM_017015558 XM_017015559 XM_017015560 XM_017015561 XM_017015562 XM_017015563 XM_017015564 XM_017015565 XM_017015566 XM_017015567 XM_017015568 XM_017015569 XM_017015570 XM_017015571 XM_017015572 XP_005252411 XP_005252414 XP_005252415 XP_006717436 XP_011517596 XP_011517599 XP_016871031 XP_016871032 XP_016871033 XP_016871034 XP_016871035 XP_016871036 XP_016871037 XP_016871038 XP_016871039 XP_016871040 XP_016871041 XP_016871042 XP_016871043 XP_016871044 XP_016871045 XP_016871046 XP_016871047 XP_016871048 XP_016871049 XP_016871050 XP_016871051 XP_016871052 XP_016871053 XP_016871054 XP_016871055 XP_016871056 XP_016871057 XP_016871058 XP_016871059 XP_016871060 XP_016871061	overlaps 5'	overlaps 5'	0	covers exon(s)	0	1	14	overlaps 5' UTR	+	331413	NA	10659	5590
11340	chr8	72755784	72756839	-0.058358221	0.46686577	190019	229234	229241	8	27	MSC-AS1	NR_033651 NR_033652	covers exon(s)	inside	426	covers exon(s)	0	1	5	inside transcription region	+	213189	NA	100132891	747
8451	chr4	184930888	184931143	-0.066325465	0.464278257	148835	125982	125988	7	20	STOX2	NM_020225 NP_064610 NR_132761 XM_011532129 XM_011532130 XM_011532131 XM_017008466 XM_017008467 XP_011530431 XP_011530432 XP_011530433 XP_016863955 XP_016863956 XR_938767	inside exon	inside	577	inside exon	0	1	3	overlaps 5' UTR	+	8564	NA	56977	47569
837	chr19	12305553	12306303	0.077240253	0.46344152	96493	433118	433123	6	7	ZNF136	NM_001348013 NM_001348014 NM_003437 NP_001334942 NP_001334943 NP_003428 XM_011528269 XM_017027243 XP_011526571 XP_016882732	downstream	downstream	31681	NA	NA	NA	3	NA	+	26192	NA	7695	59084
9409	chr6	30458149	30458601	-0.066099768	0.462698373	163389	161172	161178	7	61	HLA-E	NM_005516 NP_005507 XM_017010807 XM_017010808 XM_017010809 XP_016866296 XP_016866297 XP_016866298	overlaps exon downstream	inside	860	overlaps exon downstream	0	2	7	inside transcription region	+	4693	NA	3133	29307
291	chr10	104629122	104629179	0.07698509	0.46191054	27748	265600	265605	6	11	BORCS7-ASMT	NR_037644	inside intron	inside	15155	inside intron	382	6	15	inside transcription region	+	47688	NA	100528007	2529
884	chr19	58399967	58400504	0.076238374	0.457430241	102621	450104	450109	6	10	ZNF814	NM_001144989 NP_001138461 XM_017027197 XP_016882686	overlaps 5'	overlaps 5'	0	covers exon(s)	0	1	3	inside transcription region	-	10599	NA	730051	57966
11555	chr8	143545478	143545949	-0.090135172	0.450675862	193808	236685	236689	5	8	ADGRB1	NM_001702 NP_001693 XM_011517199 XM_011517202 XM_017013691 XM_017013692 XM_017013693 XM_017013694 XM_017013695 XM_017013696 XM_017013697 XP_011515501 XP_011515504 XP_016869180 XP_016869181 XP_016869182 XP_016869183 XP_016869184 XP_016869185 XP_016869186	inside exon	inside	101	inside exon	0	1	30	overlaps 5' UTR	+	80991	NA	575	48700
11227	chr8	49468684	49468988	-0.075087609	0.450525656	188913	226842	226847	6	9	EFCAB1	NM_001142857 NM_024593 NP_001136329 NP_078869 NR_024605 XM_005251303 XM_011517589 XM_011517590 XM_011517591 XM_017013826 XM_017013827 XM_017013828 XP_005251360 XP_011515891 XP_011515892 XP_011515893 XP_016869315 XP_016869316 XP_016869317	downstream	downstream	178882	NA	NA	NA	5	NA	-	24519	NA	79645	60805
2484	chr1	247578953	247580106	-0.074617577	0.447705464	20144	46489	46494	6	9	NLRP3	NM_001079821 NM_001127461 NM_001127462 NM_001243133 NM_004895 NM_183395 NP_001073289 NP_001120933 NP_001120934 NP_001230062 NP_004886 NP_899632 XM_011544048 XM_011544053 XM_011544055 XM_017000181 XM_017000182 XM_017000183 XM_017000184 XP_011542350 XP_011542355 XP_011542357 XP_016855670 XP_016855671 XP_016855672 XP_016855673	overlaps 5'	overlaps 5'	0	covers exon(s)	0	1	9	5' UTR	+	32948	NA	114548	8073
11355	chr8	77616944	77618141	-0.074406578	0.44643947	190229	229677	229682	6	14	ZFHX4	NM_024721 NP_078997 XM_011517592 XM_011517593 XM_011517594 XM_011517595 XM_011517596 XM_011517597 XM_017013845 XP_011515894 XP_011515895 XP_011515896 XP_011515897 XP_011515898 XP_011515899 XP_016869334	inside exon	inside	666	inside exon	0	1	9	inside transcription region	+	152266	NA	79776	61189
3278	chr10	134754286	134754961	-0.111503522	0.446014087	30430	272333	272337	5	17	CFAP46	NM_001200049 NM_017609 NM_173572 NP_001186978	covers exon(s)	inside	1128	covers exon(s)	0	3	6	inside transcription region	-	5468	NA	54777	42770
1635	chr8	101661788	101662021	0.073528493	0.441170958	191322	231890	231895	6	14	SNX31	NM_152628 NP_689841 XM_005250815 XM_011516899 XM_017013153 XM_017013154 XM_017013155 XM_017013156 XM_017013157 XM_017013158 XM_017013159 XM_017013160 XM_017013161 XM_017013162 XM_017013163 XM_017013164 XM_017013165 XP_005250872 XP_011515201 XP_016868642 XP_016868643 XP_016868644 XP_016868645 XP_016868646 XP_016868647 XP_016868648 XP_016868649 XP_016868650 XP_016868651 XP_016868652 XP_016868653 XP_016868654 XR_001745488	overlaps 5'	overlaps 5'	0	overlaps exon upstream	0	1	14	5' UTR	-	76781	NA	169166	14931
11487	chr8	133141439	133141815	-0.08819859	0.440992951	192957	234826	234830	5	5	KCNQ3	NM_001204824 NM_004519 NP_001191753 NP_004510 XM_005250914 XM_006716555 XM_011517026 XM_017013400 XP_005250971 XP_006716618 XP_011515328 XP_016868889	inside exon	inside	351189	inside exon	0	15	15	overlaps 3'UTR	-	359899	NA	3786	32368
6934	chr2	119607379	119607885	-0.07332352	0.439941121	110887	64256	64261	6	41	EN1	NM_001426 NP_001417	promoter	promoter	1620	NA	NA	NA	2	NA	-	6012	NA	2019	16767
4491	chr13	102104807	102105129	-0.062541979	0.437793855	56661	335079	335085	7	10	ITGBL1	NM_001271754 NM_001271755 NM_001271756 NM_004791 NP_001258683 NP_001258684 NP_001258685 NP_004782 XM_005254100 XP_005254157	overlaps 5'	overlaps 5'	0	overlaps exon upstream	0	1	11	5' UTR	+	268263	NA	9358	70793
10445	chr7	150413120	150413801	-0.071694544	0.430167264	183540	214091	214096	6	7	GIMAP1	NM_130759 NP_570115	overlaps 5'	overlaps 5'	0	covers exon(s)	0	1	3	5' UTR	+	7723	NA	170575	15015
3791	chr11	123066529	123067275	-0.071513208	0.429079246	41189	299589	299594	6	10	CLMP	NM_024769 NP_079045 XM_011542998 XP_011541300	promoter	promoter	522	NA	NA	NA	7	NA	-	122974	NA	79827	61351
5055	chr15	26026152	26026347	-0.084980802	0.42490401	65086	355144	355148	5	6	ATP10A	NM_024490 NP_077816 XM_005268261 XM_011521826 XM_011521828 XM_011521829 XM_011521830 XM_017022436 XM_017022437 XP_005268318 XP_011520128 XP_011520130 XP_011520131 XP_011520132 XP_016877925 XP_016877926 XR_001751366 XR_001751367 XR_001751368	overlaps exon downstream	inside	82002	overlaps exon downstream	0	2	21	inside transcription region	-	184489	NA	57194	48146
3267	chr10	134735402	134736248	-0.084960894	0.42480447	30418	272293	272300	8	8	CFAP46	NM_001200049 NM_017609 NM_173572 NP_001186978	inside intron	inside	19841	inside intron	-35	12	58	inside transcription region	-	134193	NA	54777	42767
10103	chr7	24323792	24323939	-0.104777486	0.419109943	175000	195375	195378	4	15	NPY	NM_000905 NP_000896	overlaps 5'	overlaps 5'	0	covers exon(s)	0	1	4	5' UTR	+	7677	NA	4852	37729
5541	chr16	85981310	85981947	-0.069445414	0.416672483	79250	387640	387645	6	6	IRF8	NM_002163 NP_002154 XM_017023199 XP_016878688	downstream	downstream	48536	NA	NA	NA	9	NA	+	23437	NA	3394	30328
