GO:0000122+negative regulation of transcription by RNA polymerase II	10002,100125288,100128927,100132074,10014,100529215,10062,10127,10155,1017,10174,10194,1021,10215,1028,10363,10365,10370,10401,10443,1045,10459,1046,10468,10472,10481,10499,1050,10507,1051,10522,10524,10608,10614,10628,10637,10664,10732,10765,10795,10848,10865,10915,10919,11023,11060,11080,11107,11142,11166,11171,11218,11244,11278,11279,115560,116039,117608,121536,122953,124790,125997,1263,127343,128209,128553,130497,132625,134701,138151,1386,1387,1390,140290,1407,1408,142,1428,144455,145258,146198,1482,1487,148738,148979,1499,1523,152518,153090,153572,155061,1602,161882,162968,162979,163050,163126,164656,1649,165,1655,165631,166,166968,167465,167826,169792,170302,170959,171392,1739,1745,1746,1748,1761,1786,1788,1789,1810,1814,1822,1869,1870,1871,1874,1875,1876,1877,190,1906,1910,1942,1958,195814,1990,1991,200014,2004,2005,201163,2019,2023,2033,2056,2063,2077,2099,2100,2101,2114,2117,2120,2145,2146,2186,2203,221895,221937,222894,2254,2260,2263,2274,22823,22849,22882,22890,2290,22933,22938,2294,22943,2296,22980,23013,23019,2302,23028,2303,23030,23038,2304,23040,2305,23051,2307,2308,23081,2309,23119,23152,23168,23186,23286,23309,23314,23316,23327,23405,23411,23414,23429,23462,23466,23468,23492,23493,23512,23528,2354,23650,23741,2444,2551,255877,25803,25806,25822,25836,25850,25855,25937,25942,25959,25988,26137,26145,26155,2623,2624,2625,2627,26287,2649,26508,266740,2672,27022,27033,27063,2736,2737,283571,284252,284428,2874,28996,2908,2909,29114,29128,29842,29883,29915,29942,29995,29997,30009,3005,3006,3007,3008,3009,3050,3054,3059,3065,3066,3068,30818,3087,3090,3096,3146,3166,3169,3181,3192,3199,3204,3213,3214,3218,322,3224,3234,3235,3280,3281,3297,3299,3337,333929,339344,3394,3397,3398,3399,3400,341405,342371,3428,3429,3458,3476,3481,3516,356,359948,3607,3642,3651,3660,3661,3665,367,3670,3720,3725,3726,3727,374900,387893,388585,389058,389493,389549,390245,390992,391723,3952,4004,4017,404281,4084,4087,4088,4089,4090,4092,4094,4100,4101,4149,4152,4188,4193,4194,4204,4205,4208,4212,4221,4261,4286,429,430,4303,4321,4335,440695,441478,4487,4488,4591,4601,4602,4609,463,4661,467,4773,4774,4781,4782,4783,4784,4790,4799,4825,4838,4848,4851,4854,4861,4929,4999,5017,50674,5071,5074,5078,5079,5080,50804,50943,50945,51043,51058,51085,51132,51176,51222,51274,51317,51339,51341,5138,51385,51513,51523,51547,51564,51588,51592,51616,51684,51741,51778,5178,5187,5245,53335,5347,53615,53820,5396,54039,54345,5449,54531,54567,5457,5458,5460,54623,54626,5463,5465,5467,5468,5469,5481,54815,54862,54880,54927,5494,55079,55122,55145,55170,55183,55192,55364,55502,55506,55509,55553,55646,55657,55689,5569,55693,55729,55841,55869,55929,5602,5607,56180,56252,56257,5626,5629,5663,56676,56940,56950,56957,57057,571,5716,57167,57215,5727,57332,5741,57451,57459,57491,57504,57507,57594,57600,57616,57621,57649,57659,57673,57680,57708,5771,57761,57801,57817,579,5813,5814,5828,58495,58529,5914,5915,5916,5925,5927,5931,5933,59336,5934,59341,59348,595,5966,5970,5971,5977,5978,5981,5987,5993,604,60436,6045,60468,6097,6134,6208,6233,6239,6256,6271,6297,6299,6301,6304,6310,639,63976,63978,64207,6421,64321,64324,64376,64412,64426,6469,64750,648,6493,6495,6497,6498,650,652,65251,653656,653657,654,6591,6595,6597,6608,6615,6622,6657,6664,6665,6668,6670,6672,668,6688,6720,6721,6736,6772,6774,6778,6827,6829,6839,6862,6879,688,6886,6907,6909,6911,6913,6926,6928,6929,6932,6934,6935,6936,6943,6944,6945,6996,7020,7021,7022,7025,7026,7040,7050,7067,7068,7071,708,7080,7091,7101,7124,7157,7175,7181,7189,7227,728361,7291,729458,7295,7311,7314,7316,7321,7323,7329,7341,7356,7376,7421,7422,7428,7430,7436,7442,7466,7468,7480,7490,7514,7528,7538,7541,7554,7555,7593,7690,7695,7699,7703,7704,7707,7712,7727,7728,7730,7743,7753,7755,7764,7767,7804,7832,78986,79192,79365,79576,79577,79595,79618,79648,79718,79723,79733,7975,79759,79776,79813,79898,80014,8013,80314,80317,80712,8091,8092,811,81857,8187,8204,8239,8241,8242,8284,8289,8320,8325,8328,83463,83482,83595,83666,83855,83860,83933,8403,8409,84108,84159,84174,84295,8431,84312,84458,84504,8452,84524,84619,8462,84662,84667,84678,84733,84759,84934,84944,84962,8531,8535,8538,85446,8545,85508,85509,8553,8554,857,861,8626,864,865,8725,8726,8819,8841,8861,8863,8864,8878,8914,8928,8932,896,898,90485,90523,9079,9093,9096,9099,90993,9112,9139,9208,9212,92129,92140,9219,9241,9242,93,9314,9318,9338,9349,93649,93986,94104,9421,94234,948,9534,9555,9572,9603,9611,9612,96459,9646,9678,9682,9705,9730,9734,9745,9759,9839,9841,9925,9960,9971,9975
GO:0000132+establishment of mitotic spindle orientation	10252,10253,10403,1058,137886,1639,2255,29899,3064,4926,5048,5080,54820,54908,55755,55968,56647,6993,79648,81565,89958,9181,9183
GO:0000147+actin cortical patch assembly	147179,644150,7454,7456,84948,8976
GO:0000154+rRNA modification	115939,51106,55226,55623
GO:0000160+phosphorelay signal transduction system	64210
GO:0000165+MAPK cascade	10048,10125,10156,10645,10817,10818,115727,120892,1234,133396,1437,1438,1439,145957,151742,152559,152831,153090,161742,1739,1740,1741,1742,1839,1847,1848,1849,1852,1950,1956,197259,203447,2064,2065,2066,2069,2185,221002,2246,2247,2248,2249,2250,2251,2252,2253,2254,2255,225689,2258,2260,2261,2263,2264,22821,23043,23064,2322,2323,2534,255324,25759,25780,25807,26281,2668,2674,2675,2676,27006,27040,284,2885,28956,2902,2903,2904,3082,3084,3265,3297,3553,3558,3559,3560,3561,3562,3563,3567,3568,3606,3611,3667,369,3707,3716,3717,3718,3815,3845,389840,4086,4140,4155,4205,4208,4214,4215,4216,4217,4221,4233,4254,4293,4294,4296,4342,4609,4684,4747,4763,4893,4902,5037,50488,5058,5063,51332,51347,5154,5155,5156,5159,51701,51765,53358,5458,54756,5536,55437,5594,5595,5596,5597,5598,5604,5605,5608,5623,5747,57554,57731,5786,5894,5921,5922,5923,5924,5979,6014,6300,6347,6348,6352,64096,6464,64926,6654,6708,6709,6710,6711,6712,673,677,685,7010,7040,7124,7529,7531,7538,7786,7857,7867,801,8074,8106,815,816,817,818,8315,83483,84078,8428,84292,8437,8452,85358,8550,8649,8660,8682,8737,8767,88,8817,8822,8823,8831,8844,9020,9048,9175,92335,9261,9365,9448,9462,9542,9693,9965,9978
GO:0000173+inactivation of MAPK activity involved in osmosensory signaling pathway	51562
GO:0000183+chromatin silencing at rDNA	11176,121504,126961,22933,23378,23411,3020,3021,333932,554313,57673,653604,6839,8294,8350,8351,8352,8353,8354,8355,8356,8357,8358,8359,8360,8361,8362,8363,8364,8365,8366,8367,8368,8370,8467,8932,8968
GO:0000184+nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	10921,11224,154197,167227,196513,1981,2107,22794,22916,23049,23293,23381,23521,23708,25873,26019,26986,2935,3646,3921,4116,4686,4736,5073,5394,55110,5515,5518,55181,5520,55629,55802,56006,5976,6122,6124,6125,6128,6129,6130,6132,6133,6134,6135,6136,6137,6138,6139,6141,6142,6143,6144,6146,6147,6152,6154,6155,6156,6157,6158,6159,6160,6161,6164,6165,6167,6168,6169,6170,6171,6173,6175,6176,6181,6187,6188,6189,6191,6192,6193,6194,6201,6202,6203,6204,6205,6206,6207,6208,6209,6210,6217,6218,6222,6223,6224,6227,6228,6229,6230,6231,6232,6233,6234,6235,65109,65110,7311,84305,85441,9045,9349,9704,9775,9811,9887,9939
GO:0000185+activation of MAPKKK activity	10454,10912,11183,11184,153090,1647,4616,5871,7124,84231,8491
GO:0000186+activation of MAPKK activity	10746,10818,120892,1326,134,1398,1399,1950,1956,2149,2889,28956,2911,3717,389840,4214,4215,4216,4217,4342,4616,4803,4914,51347,51776,5610,5663,57498,57551,5894,652,673,6885,7046,84451,8649,8754,9020,9064,9175,9344,9607
GO:0000187+activation of MAPK activity	10392,10454,10746,10818,10961,1139,114898,120892,128239,136,1399,1432,1464,151,1815,1847,1848,1849,1852,1902,1950,200958,2246,2247,2255,23118,23566,2357,238,255324,257397,25759,2690,27347,2785,284340,2911,2914,3082,3084,3479,3553,3643,3654,3656,3672,3735,3815,389400,408,4296,4342,4908,4916,5027,5063,51196,5148,5149,51738,5291,5319,5562,55765,5594,5595,5600,5602,5604,5605,5606,5607,5608,5609,57551,5781,5788,5979,60370,60675,6233,6288,64127,6416,6464,650,6647,6885,6997,7001,7039,7043,7057,7099,7124,7161,7189,727,728,7311,7314,7316,7334,7335,7474,7852,7867,84432,8517,8550,8567,8682,8767,9261,9294,9344,9518,972,975,983
GO:0000188+inactivation of MAPK activity	11072,11221,150290,151649,161742,1843,1844,1845,1846,1847,1848,1849,1850,1852,200734,2873,2874,54900,5515,5518,56940,5998,5999,63904,80824,857
GO:0000209+protein polyubiquitination	10013,10075,10193,10210,10273,10277,10425,10517,10612,10616,11059,11060,114907,115290,1161,117854,118424,118611,126433,127544,131405,138065,140691,142678,143279,144699,146330,148203,148581,149041,150726,151112,151636,154214,1643,201456,220972,222235,223082,22888,22954,23014,23072,23194,23291,23295,23304,23321,23327,23328,23608,23623,23759,246330,255488,257218,25793,25820,25893,25897,26001,26118,26145,26190,26223,26224,26232,26234,26235,26259,26263,26267,26268,26270,26272,267,27246,27339,283807,285231,285671,29116,329,378884,387921,4008,4012,4734,494470,5071,51132,51191,51283,51366,51514,51725,54461,54467,54542,54620,54708,54778,54850,54926,54941,55008,55016,55072,55294,55336,55521,55743,55905,56254,57154,57161,57162,57520,57531,57542,57674,5930,596,6233,642,6468,64718,64750,6477,6478,64795,64839,6500,6502,6737,6872,7064,7174,7189,7311,7314,7316,7319,7320,7321,7322,7323,7324,7326,7327,7332,7335,7336,7337,79176,79791,80028,80176,80204,80351,83737,84085,84261,8452,8454,84937,84961,865,8658,867,8945,899,89910,90025,90678,91694,92305,9320,9354,93611,9520,9604,9666,9690,9781,9870,997,9978
GO:0000212+meiotic spindle organization	27175,4342,4627,546,7283,9700
GO:0000226+microtubule cytoskeleton organization	1020,10297,10376,10381,10382,10383,10460,10579,1068,1069,112714,11337,117583,1267,1400,146057,150465,157922,166614,168448,1783,2009,2011,203068,2241,23113,23122,23271,23332,23363,23387,256364,256714,25897,2597,27175,27185,27436,283431,347688,347733,3796,4130,4131,4133,4134,4135,4137,4139,4140,4281,4287,4744,4747,5048,51143,5116,51174,51175,51807,54986,55012,55201,55700,55755,5590,56288,56647,5747,57551,57662,57787,585,6314,6651,6760,6867,6900,6904,6905,7277,7280,7283,7465,7846,79649,79861,79929,81027,83987,8409,84617,84790,85440,8555,8556,8631,8674,8851,8882,90102,9053,9820,983
GO:0000244+spliceosomal tri-snRNP complex assembly	100151683,100151684,101954271,101954275,101954278,103625684,10421,10594,10772,11218,135295,24148,25980,26121,26827,26828,26829,26830,26831,26832,26834,26835,27339,7375,9129,9733
GO:0000245+spliceosomal complex assembly	10181,10713,10907,1653,24148,26576,27339,4686,51340,6606,6607,6632,6633,6635,6637,6732,6733,6936,7536,7919,79833,8175,8233,8487,9169
GO:0000256+allantoin catabolic process	55821
GO:0000266+mitochondrial fission	10059,113115,1352,449520,4599,4600,4976,5071,51024,51537,54332,54471,56181,56947,729809,79594,9650
GO:0000272+polysaccharide catabolic process	1118,27159
GO:0000278+mitotic cell cycle	1012,10270,10309,10376,10381,10382,10383,10403,10426,10474,10534,10540,1060,10600,1062,1063,10636,1069,10769,10776,10844,10899,10910,10983,11004,11107,11113,11169,11190,11258,112714,113130,114791,1213,1263,126520,129563,146909,148479,1639,168448,1788,2029,203068,2077,220134,221150,2241,22974,23063,23172,23194,25,2669,27175,27229,27436,3082,347688,347733,348235,3550,3832,3835,387103,4221,4602,4603,4605,4659,4751,4752,4927,4998,51174,51175,51529,51807,5347,5426,54619,55193,5520,5521,5522,55270,5536,55844,55872,56992,57348,5901,595,6045,6240,6249,64343,645121,6787,6790,6904,701,7277,7280,7283,728642,7516,7846,79616,79861,79935,80124,80152,8021,8089,81027,81620,8218,83852,83903,84084,84617,84790,8481,84930,85378,85417,8555,8556,8697,8881,890,8900,891,894,896,898,899,900,901,9088,9126,9133,9134,91603,9221,9400,984,988,990,994,9960
GO:0000281+mitotic cytokinesis	10015,10112,1058,10617,1072,10899,11021,11113,112574,114327,128866,129531,1894,23157,23503,24137,257364,26586,285643,288,29127,324,3619,388,389,3925,403,4628,51203,51429,5347,54443,54902,55165,55521,585,5921,6242,6651,6683,6711,675,79884,81620,84445,9094,9101,9493,9700,9820
GO:0000288+nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	149041,201626,28960,5433,677,678,7538
GO:0000289+nuclear-transcribed mRNA poly(A) tail shortening	154197,23019,23034,23318,246175,255967,25904,29883,4292,4848,4849,4850,5073,55095,55571,57472,7538,79670,85456,9125,9337,9924
GO:0000290+deadenylation-dependent decapping of nuclear-transcribed mRNA	167227,196513,197135,219988,255967,25819,27257,28960,29883,55802
GO:0000291+nuclear-transcribed mRNA catabolic process, exonucleolytic	129563,5436
GO:0000294+nuclear-transcribed mRNA catabolic process, endonucleolytic cleavage-dependent decay	5976,80149
GO:0000296+spermine transport	6879
GO:0000301+retrograde transport, vesicle recycling within Golgi	1523,9950
GO:0000302+response to reactive oxygen species	10891,1263,2950,3373,347,348,5798,6278,847,8692
GO:0000303+response to superoxide	2074,6647,6648,7351,7352
GO:0000304+response to singlet oxygen	2534
GO:0000305+response to oxygen radical	10587
GO:0000320+re-entry into mitotic cell cycle	406976,406977,406978,595,899
GO:0000338+protein deneddylation	10920,10980,10987,1861,2873,50813,51138,64708,8533,9318
GO:0000348+mRNA branch site recognition	100128988,107984784,148756,267010,6066
GO:0000349+generation of catalytic spliceosome for first transesterification step	27339,56949
GO:0000350+generation of catalytic spliceosome for second transesterification step	57461,8559
GO:0000353+formation of quadruple SL/U4/U5/U6 snRNP	101954271,101954275,101954278,103625684,26827,26828,26829,26830,26831,26832,26834,26835
GO:0000354+cis assembly of pre-catalytic spliceosome	23020,9416
GO:0000375+RNA splicing, via transesterification reactions	10199,10250,10262,10285,10286,10569,10594,10772,10907,10946,23450,23451,24148,27257,51163,6429,6434,84292,8487,8570,9128,9129,9169,9410,9416
GO:0000379+tRNA-type intron splice site recognition and cleavage	283989,79042,80746
GO:0000380+alternative mRNA splicing, via spliceosome	10084,10521,10569,1655,1660,23028,4670,51319,56853,6421,6426,6431,6433,79005,80004,84991,8621
GO:0000381+regulation of alternative mRNA splicing, via spliceosome	10150,10179,10181,10284,10521,10657,10658,10659,10772,10921,10929,11189,135295,140890,146713,159163,1655,1859,221662,2332,23543,27316,29890,3178,3191,3192,378951,4116,4154,4654,51341,54033,54715,55234,55796,56853,5725,58517,5936,5940,5978,60677,60680,6426,6427,6428,6429,6430,6431,6432,6434,64783,8241,83759,83989,84081,84530,84872,84991,8683,9589,9733,9904,9939,9967
GO:0000387+spliceosomal snRNP assembly	100130932,10073,10419,11171,11218,1207,25804,25929,50628,54496,54960,55696,6606,6607,6628,6631,6632,6633,6634,6635,6636,6637,79760,79833,8487,9092,96764,9733
GO:0000388+spliceosome conformational change to release U4 (or U4atac) and U1 (or U11)	23020
GO:0000389+mRNA 3'-splice site recognition	10291,10569,10946,57461,7536,8175
GO:0000390+spliceosomal complex disassembly	1659,24144
GO:0000395+mRNA 5'-splice site recognition	100151683,100151684,101447996,101954264,101954266,101954267,101954268,101954269,101954272,101954273,101954276,101954277,105378616,10772,11168,135295,26824,26863,26864,26869,26870,26871,285962,55015,6060,6063,6426,6433,6631
GO:0000398+mRNA splicing, via spliceosome	10081,10084,10181,10189,10212,10236,10250,10262,102724594,10283,10285,10286,10291,10421,10450,10465,10492,10523,10569,10594,10713,10772,10898,10907,10914,10921,10946,10949,10978,10992,11017,11030,11051,11066,11100,11157,11193,11325,11338,139804,1477,1478,1479,153527,154007,1655,1659,1660,1665,1993,1994,199746,220988,22794,22826,22827,22913,22916,22938,23020,23283,23350,23398,23450,23451,23517,23524,23658,24144,24148,2483,2521,25766,25804,25862,25929,25949,26121,26986,27238,27258,27288,27316,27339,2962,2963,29894,29896,3178,3181,3183,3184,3185,3187,3188,3189,3190,3191,3192,3312,348093,3550,378949,378950,392517,4116,4236,4670,4686,4809,4857,4858,4904,5093,5094,51163,51319,51340,51362,51428,51503,51585,51593,51634,51639,51645,51690,51691,51692,51729,5356,53938,53981,5411,5430,5431,5432,5433,5434,5435,5436,5437,5438,5439,5440,5441,54883,54957,55094,55110,55234,55285,55339,5546,55596,55599,55660,55696,55749,55954,56259,56339,56949,5725,57461,57703,57721,57794,57819,58509,59286,5942,60625,6426,6427,6428,6429,6430,6431,6432,6434,65109,6625,6626,6627,6628,6629,6631,6632,6633,6634,6635,6636,6637,6638,6936,7307,7310,7536,7919,79622,79665,79760,79833,79869,8106,81608,8175,8189,8220,8233,83443,84292,8449,84811,84844,84950,84991,85437,8683,8896,8899,9092,9128,9129,9295,9343,9410,9416,9716,9733,9775,9785,9879,988,9939
GO:0000413+protein peptidyl-prolyl isomerization	10105,10283,10450,10465,105371242,11328,2280,2281,2286,2287,2288,2289,23398,23759,23770,285755,4820,51303,51645,51661,5300,5303,53938,5478,5479,5480,5481,55033,5524,5903,60681,644591,645142,653505,653598,728945,730262,8468,85313,9360
GO:0000414+regulation of histone H3-K36 methylation	64324
GO:0000415+negative regulation of histone H3-K36 methylation	54880
GO:0000416+positive regulation of histone H3-K36 methylation	22976
GO:0000422+autophagy of mitochondrion	10533,10891,11152,11337,11345,139341,1513,2011,23130,23710,23766,25793,26100,285973,440738,493856,5071,51024,55062,55102,55626,56270,643246,64422,65018,65991,664,79065,81631,84557,84749,8678,8878,9140,9474,9776,9821
GO:0000423+mitophagy	22863,5071,55626,8678,8878,9776
GO:0000430+regulation of transcription from RNA polymerase II promoter by glucose	7391,7392
GO:0000432+positive regulation of transcription from RNA polymerase II promoter by glucose	3170,7391,7392
GO:0000435+positive regulation of transcription from RNA polymerase II promoter by galactose	8648
GO:0000447+endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	10171,23212,27340,29777,3921,6227,65095,8602
GO:0000448+cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	23246,79707
GO:0000451+rRNA 2'-O-methylation	29960,55178,79922
GO:0000453+enzyme-directed rRNA 2'-O-methylation	117246
GO:0000454+snoRNA guided rRNA pseudouridine synthesis	54433,55505,92345
GO:0000455+enzyme-directed rRNA pseudouridine synthesis	1736,27079
GO:0000460+maturation of 5.8S rRNA	10200,10438,23517,5394,54512,79707,81887
GO:0000461+endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	3921,6227
GO:0000462+maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	10607,25879,25983,27042,55127,55720,55813,57050,57647,5822,6202,6208,6217,6223,64963,64965,705,79954,84916,85395,8602,88745,8945,90121,9277,9790
GO:0000463+maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	11224,117246,23246,23481,23560,285855,54680,55759,6129,84154,9326,9875
GO:0000466+maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	117246,23481,55759,9875
GO:0000467+exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	11340,23016,23404,51010,5393,79033,90459
GO:0000469+cleavage involved in rRNA processing	28987,55651,88745
GO:0000470+maturation of LSU-rRNA	26156,4736,4809,55651,6130,65008,81887
GO:0000472+endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	27340,29777,8602
GO:0000480+endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	10171,27340,29777,84294,8602
GO:0000481+maturation of 5S rRNA	9092
GO:0000492+box C/D snoRNP assembly	10856,120379,26747,4809,54680,55011,6880,8607,9326
GO:0000493+box H/ACA snoRNP assembly	55164,92345
GO:0000494+box C/D snoRNA 3'-end processing	2091,345630
GO:0000495+box H/ACA snoRNA 3'-end processing	1736,5073
GO:0000578+embryonic axis specification	1499,23242,4435,6491,7471,7476,7855
GO:0000706+meiotic DNA double-strand break processing	23626,84464
GO:0000710+meiotic mismatch repair	2067,2956,4437
GO:0000711+meiotic DNA repair synthesis	56158,6847,84690
GO:0000712+resolution of meiotic recombination intermediates	146956,158401,164045,197342,201254,2072,254528,378708,4292,4438,56159,57697,641,7153,7155,80010,80198,84464
GO:0000715+nucleotide-excision repair, DNA damage recognition	1069,10920,10980,10987,142,1642,1643,2873,50813,51138,5887,6233,64708,7311,7314,7316,7507,7508,8450,8451,8533,9318,9978
GO:0000717+nucleotide-excision repair, DNA duplex unwinding	2068,2071
GO:0000718+nucleotide-excision repair, DNA damage removal	11284
GO:0000719+photoreactive repair	1408
GO:0000720+pyrimidine dimer repair by nucleotide-excision repair	2067,23411,3150
GO:0000722+telomere maintenance via recombination	10111,23137,286053,29935,5888,5889,6118,675,7011,7517,79677
GO:0000723+telomere maintenance	10039,10111,10714,10728,135458,142,1763,2072,220064,22891,2547,328,3364,4361,4683,472,5111,51750,5424,5425,54386,545,55183,5591,57804,5892,6117,6118,6119,64858,65057,6672,7013,7014,7015,7486,7520,79991,80119,80169,898,9134,9401,9894
GO:0000724+double-strand break repair via homologous recombination	10111,10213,10635,10721,10933,113510,119392,125150,126074,135458,142,147872,197370,2072,2237,22909,23137,23503,23514,253714,254394,254528,25788,25939,27343,286053,29935,3014,3364,348654,353497,375757,3980,4361,4683,4796,51444,54617,548593,55159,55218,55317,55693,57599,5888,5889,5890,5892,5893,5932,5965,6117,6118,6119,641,6421,642636,64710,64859,672,675,7334,7486,7515,7516,7517,7528,79000,79008,79035,79677,79728,7979,80010,8438,84464,84515,84893,9400,9401,9907,9985
GO:0000725+recombinational repair	83695,84893
GO:0000726+non-recombinational repair	57109
GO:0000727+double-strand break repair via break-induced replication	51659,80198,8317,8318,84296
GO:0000729+DNA double-strand break processing	10111,10524,1763,4361,4683,472,55218,56916,580,5932,641,6419,672,7334,7336
GO:0000730+DNA recombinase assembly	11144,375757,5888,5893
GO:0000731+DNA synthesis involved in DNA repair	1032,10714,23411,5422,5424,5426,5429,56897,5983,641,7486
GO:0000732+strand displacement	51750,641
GO:0000733+DNA strand renaturation	50485,56897,5965,641,6594,7157,84083,8438,9401
GO:0000735+removal of nonhomologous ends	4437
GO:0000737+DNA catabolic process, endonucleolytic	1773,1774,1775,1776,2021,23626,57109,6419,80198,84893,9941
GO:0000738+DNA catabolic process, exonucleolytic	22803,3669,57109,79033,90459
